,01CPTAC_HNSCC_Proteome_JHU_20190507,04CPTAC_HNSCC_Proteome_JHU_20190520,07CPTAC_HNSCC_Proteome_JHU_20190607,09CPTAC_HNSCC_Proteome_JHU_20190614,12CPTAC_HNSCC_Proteome_JHU_20190624,13CPTAC_HNSCC_Proteome_JHU_20190731,14CPTAC_HNSCC_Proteome_JHU_20190805,15CPTAC_HNSCC_Proteome_JHU_20190820,17CPTAC_HNSCC_Proteome_JHU_20190909,18CPTAC_HNSCC_Proteome_JHU_20190927,19CPTAC_HNSCC_Proteome_JHU_20191003,20CPTAC_HNSCC_Proteome_JHU_20190809
01CPTAC_HNSCC_Proteome_JHU_20190507,1.0,0.4045625813491342,0.44284741226957786,0.42476491266118355,0.3843798259995109,0.2832828858839211,0.2363402127535038,0.31009502910265574,0.2622353238640586,0.33561744095621715,0.24475587720674458,0.38008403170106786
04CPTAC_HNSCC_Proteome_JHU_20190520,0.4045625813491342,1.0,0.42456533274334113,0.39652091042403237,0.3930663419520217,0.2783296604288544,0.23120798886676253,0.30300274349238415,0.2668747778938738,0.35383716906282214,0.23682331668902193,0.3630872162298398
07CPTAC_HNSCC_Proteome_JHU_20190607,0.44284741226957786,0.42456533274334113,1.0,0.5513975887627895,0.47780042402133005,0.3555509378748467,0.2858014153471968,0.3949299797467892,0.30409167052891295,0.33108607751397695,0.27405623522719386,0.45879159350496346
09CPTAC_HNSCC_Proteome_JHU_20190614,0.42476491266118355,0.39652091042403237,0.5513975887627895,1.0,0.5985179698046775,0.40417370569711136,0.283777355130791,0.4631092331395105,0.2914449119320481,0.31536732939360074,0.26402218701152375,0.5371776725034106
12CPTAC_HNSCC_Proteome_JHU_20190624,0.3843798259995109,0.3930663419520217,0.47780042402133005,0.5985179698046775,1.0,0.4370441772479034,0.3489578000467636,0.5262374305468438,0.31865324994618194,0.32799858359957823,0.2878345450496444,0.5717654762456754
13CPTAC_HNSCC_Proteome_JHU_20190731,0.2832828858839211,0.2783296604288544,0.3555509378748467,0.40417370569711136,0.4370441772479034,1.0,0.55260662561132,0.560718748927408,0.46794984260316963,0.25231818302884157,0.3885273238830016,0.4442144395989617
14CPTAC_HNSCC_Proteome_JHU_20190805,0.2363402127535038,0.23120798886676253,0.2858014153471968,0.283777355130791,0.3489578000467636,0.55260662561132,1.0,0.524477397827631,0.48388146510410174,0.21845236755799272,0.47451210373108765,0.38523006817653543
15CPTAC_HNSCC_Proteome_JHU_20190820,0.31009502910265574,0.30300274349238415,0.3949299797467892,0.4631092331395105,0.5262374305468438,0.560718748927408,0.524477397827631,1.0,0.3781023131019267,0.2553293261691943,0.3660873578478928,0.5453852849301124
17CPTAC_HNSCC_Proteome_JHU_20190909,0.2622353238640586,0.2668747778938738,0.30409167052891295,0.2914449119320481,0.31865324994618194,0.46794984260316963,0.48388146510410174,0.3781023131019267,1.0,0.30473718407726813,0.4302093418244709,0.33283568317986156
18CPTAC_HNSCC_Proteome_JHU_20190927,0.33561744095621715,0.35383716906282214,0.33108607751397695,0.31536732939360074,0.32799858359957823,0.25231818302884157,0.21845236755799272,0.2553293261691943,0.30473718407726813,1.0,0.2449893246618986,0.32060589919630317
19CPTAC_HNSCC_Proteome_JHU_20191003,0.24475587720674458,0.23682331668902193,0.27405623522719386,0.26402218701152375,0.2878345450496444,0.3885273238830016,0.47451210373108765,0.3660873578478928,0.4302093418244709,0.2449893246618986,1.0,0.32089957395304586
20CPTAC_HNSCC_Proteome_JHU_20190809,0.38008403170106786,0.3630872162298398,0.45879159350496346,0.5371776725034106,0.5717654762456754,0.4442144395989617,0.38523006817653543,0.5453852849301124,0.33283568317986156,0.32060589919630317,0.32089957395304586,1.0
