,01CPTAC_CCRCC_Proteome_JHU_20171007,02CPTAC_CCRCC_Proteome_JHU_20171003,03CPTAC_CCRCC_Proteome_JHU_20171022,04CPTAC_CCRCC_Proteome_JHU_20171026,05CPTAC_CCRCC_Proteome_JHU_20171030,06CPTAC_CCRCC_Proteome_JHU_20171120,07CPTAC_CCRCC_Proteome_JHU_20171127,08CPTAC_CCRCC_Proteome_JHU_20171205,09CPTAC_CCRCC_Proteome_JHU_20171215,10CPTAC_CCRCC_Proteome_JHU_20180119,11CPTAC_CCRCC_Proteome_JHU_20180126,12CPTAC_CCRCC_Proteome_JHU_20180202,13CPTAC_CCRCC_Proteome_JHU_20180215,14CPTAC_CCRCC_Proteome_JHU_20180223,15CPTAC_CCRCC_Proteome_JHU_20180315,16CPTAC_CCRCC_Proteome_JHU_20180322,17CPTAC_CCRCC_Proteome_JHU_20180517,18CPTAC_CCRCC_Proteome_JHU_20180521,19CPTAC_CCRCC_Proteome_JHU_20180526,20CPTAC_CCRCC_Proteome_JHU_20180602,21CPTAC_CCRCC_Proteome_JHU_20180621,22CPTAC_CCRCC_Proteome_JHU_20180625,23CPTAC_CCRCC_Proteome_JHU_20180629
01CPTAC_CCRCC_Proteome_JHU_20171007,1.0,0.36560605857319,0.3930508540435097,0.3580400150978282,0.35110278915789483,0.3938471953063701,0.3984696425372843,0.36814873639739654,0.39017395513426334,0.3664706499084876,0.3632889551025248,0.35218536694951247,0.40199595473211497,0.3876085193844051,0.39026557830515396,0.38361443857002997,0.35432129502636833,0.345946763481095,0.2776818177273867,0.2754031875193642,0.38964613942650417,0.38754030696115693,0.38038363586629703
02CPTAC_CCRCC_Proteome_JHU_20171003,0.36560605857319,1.0,0.35284476127891307,0.3860762172866805,0.3663966197058655,0.39051093506738027,0.38560064548710454,0.408641318372127,0.4169558295396806,0.3507624333125085,0.37476827861346224,0.423902493176912,0.35911385265189066,0.4360239817181688,0.4253373389111208,0.4079450402116463,0.4027369303510617,0.4202800879505856,0.33978363979565573,0.32663910915669225,0.3769667232472274,0.38859171043595,0.36910988074869266
03CPTAC_CCRCC_Proteome_JHU_20171022,0.3930508540435097,0.35284476127891307,1.0,0.3771137078984022,0.3682271383617354,0.3454170468980834,0.35699055160950344,0.32631094875585587,0.34568303490123237,0.34622768763212675,0.33793127351749974,0.33102705581128555,0.36009612062505364,0.3621307719444721,0.3624561943631966,0.3533428703302436,0.34319684410508977,0.3354906015892318,0.2736551649501317,0.2755683427444505,0.38017873006482306,0.3767083928242361,0.3862193398522372
04CPTAC_CCRCC_Proteome_JHU_20171026,0.3580400150978282,0.3860762172866805,0.3771137078984022,1.0,0.4542546394732253,0.4257172375694622,0.41832839953653606,0.38263525310760826,0.3772041129838276,0.3592918657017514,0.38676306976782027,0.3906752210297218,0.36113287960836987,0.4079915349080755,0.4313617205929234,0.41586184391104836,0.39158352290548964,0.4061050805159953,0.3342776848080787,0.3344428688402324,0.38043292998589856,0.38157277114584814,0.35953751511142806
05CPTAC_CCRCC_Proteome_JHU_20171030,0.35110278915789483,0.3663966197058655,0.3682271383617354,0.4542546394732253,1.0,0.37628303083276177,0.3686329398829843,0.34553379880017393,0.3359046824788392,0.3440862770899279,0.33227813448293725,0.3405629514597116,0.3443402341065017,0.3678433715655404,0.37223766453359397,0.37503773451176453,0.36530529700443026,0.3723282286828651,0.31847112525743915,0.319844773343862,0.3779983345709606,0.3828960330683609,0.3630121036118243
06CPTAC_CCRCC_Proteome_JHU_20171120,0.3938471953063701,0.39051093506738027,0.3454170468980834,0.4257172375694622,0.37628303083276177,1.0,0.5473109384246229,0.4526022381100937,0.3933035594585665,0.3666344882254738,0.3979872202928228,0.39469590280999517,0.3833089263388703,0.4089842836865683,0.44289354650121576,0.4326487753041623,0.4119522834828146,0.4250170430140254,0.33185789167899765,0.3143974902577674,0.37187643341375204,0.36612618774077504,0.35352683226893394
07CPTAC_CCRCC_Proteome_JHU_20171127,0.3984696425372843,0.38560064548710454,0.35699055160950344,0.41832839953653606,0.3686329398829843,0.5473109384246229,1.0,0.4370154202675124,0.3846074513710301,0.365597862929545,0.3887616353593401,0.38558225838263205,0.3796140918099121,0.40431885569283676,0.42638713800331773,0.4227530974949535,0.41820067619931783,0.4150723774797051,0.32873575284705847,0.3173092708565461,0.36497552824999796,0.36088279234217296,0.35108443220507
08CPTAC_CCRCC_Proteome_JHU_20171205,0.36814873639739654,0.408641318372127,0.32631094875585587,0.38263525310760826,0.34553379880017393,0.4526022381100937,0.4370154202675124,1.0,0.40189030082634203,0.3218853383460273,0.3670242264955476,0.39466258737280696,0.3482800185489166,0.41982158884604054,0.3914731906800426,0.38493310636982264,0.37425541961993536,0.37401521626129064,0.31108433758391596,0.3027807811318513,0.35303131447608377,0.3546547425840229,0.3396272912064819
09CPTAC_CCRCC_Proteome_JHU_20171215,0.39017395513426334,0.4169558295396806,0.34568303490123237,0.3772041129838276,0.3359046824788392,0.3933035594585665,0.3846074513710301,0.40189030082634203,1.0,0.3801279526705842,0.40153333815828574,0.4735444182696745,0.3989362659162103,0.4610108905560784,0.4447736205619253,0.40477574985003584,0.3443520124514056,0.36561113562406766,0.2789550056894165,0.2667976572824831,0.38269501016704,0.38513187919891123,0.37923351127293037
10CPTAC_CCRCC_Proteome_JHU_20180119,0.3664706499084876,0.3507624333125085,0.34622768763212675,0.3592918657017514,0.3440862770899279,0.3666344882254738,0.365597862929545,0.3218853383460273,0.3801279526705842,1.0,0.39561481074087973,0.3904153842007373,0.40684562357607434,0.3676999990307301,0.3811158968278266,0.36363029567923133,0.33302984754068615,0.34637991803954254,0.30182262000387006,0.29058642266034396,0.36248758649290747,0.3511315066197946,0.35785943394147834
