,01CPTAC_LSCC_Proteome_BI_20190615,02CPTAC_LSCC_Proteome_BI_20190618,03CPTAC_LSCC_Proteome_BI_20190626,04CPTAC_LSCC_Proteome_BI_20190629,05CPTAC_LSCC_Proteome_BI_20190705,06CPTAC_LSCC_Proteome_BI_20190710,07CPTAC_LSCC_Proteome_BI_20190714,08CPTAC_LSCC_Proteome_BI_20190717,09CPTAC_LSCC_Proteome_BI_20190722,10CPTAC_LSCC_Proteome_BI_20190726,11CPTAC_LSCC_Proteome_BI_20190804,12CPTAC_LSCC_Proteome_BI_20190807,13CPTAC_LSCC_Proteome_BI_20190815,14CPTAC_LSCC_Proteome_BI_20190819,15CPTAC_LSCC_Proteome_BI_20190822,16CPTAC_LSCC_Proteome_BI_20190828,17CPTAC_LSCC_Proteome_BI_20190831,18CPTAC_LSCC_Proteome_BI_20190903,19CPTAC_LSCC_Proteome_BI_20190909,20CPTAC_LSCC_Proteome_BI_20190913,21CPTAC_LSCC_Proteome_BI_20190916,22CPTAC_LSCC_Proteome_BI_20190919
01CPTAC_LSCC_Proteome_BI_20190615,1.0,0.41133170990307427,0.3780094413641209,0.3642106455381745,0.3183797575893957,0.3575257364844393,0.39135623029616295,0.3379081617132867,0.3980107005325861,0.3464089549163343,0.39381528149327016,0.3431186219994314,0.33636616874969916,0.38516174886337384,0.34283062085418464,0.3212368139307816,0.33999185385995967,0.32130797387871884,0.3341633636129788,0.31351279351533234,0.3226833056505109,0.2979906217645123
02CPTAC_LSCC_Proteome_BI_20190618,0.41133170990307427,1.0,0.356080702172718,0.3487585155160126,0.30983198755423164,0.34430265020178713,0.3567640656609056,0.33104450140422875,0.39252097856770335,0.33775109214822874,0.3774090661831039,0.2924544751557129,0.30582020213133737,0.32679787932963394,0.3101099933328158,0.2909037454782437,0.3312441043407577,0.3112136816493478,0.3215719784857774,0.2937442461538097,0.3080629893107065,0.29144505445560953
03CPTAC_LSCC_Proteome_BI_20190626,0.3780094413641209,0.356080702172718,1.0,0.41116782524860995,0.355535137146388,0.3769429948062033,0.36742299063607753,0.32775698954931937,0.3509171257657134,0.31231506186860736,0.35175100521261665,0.29518792996281124,0.2930730526230426,0.3323083221031985,0.32393187829733755,0.33842270896158694,0.34585017102141524,0.33881375236887573,0.33810068199609095,0.3145013345730869,0.3336937604660038,0.30361858517921564
04CPTAC_LSCC_Proteome_BI_20190629,0.3642106455381745,0.3487585155160126,0.41116782524860995,1.0,0.4106449057783166,0.431877624243661,0.34162600459518055,0.3352806013050829,0.35862118345735233,0.31300536120621986,0.34609933057566583,0.2985705905174857,0.26516310457632947,0.32102946363961665,0.3197093745526442,0.29842485517692197,0.3490411954512044,0.3227554541952779,0.3369097688310198,0.3063713099963479,0.3058216046761837,0.28870458473171257
05CPTAC_LSCC_Proteome_BI_20190705,0.3183797575893957,0.30983198755423164,0.355535137146388,0.4106449057783166,1.0,0.42119009331493723,0.31092106884626314,0.33141640605874845,0.3477709053945018,0.2841582116688741,0.3337240473944187,0.32289118469181216,0.22009992105794204,0.2866376312308437,0.2871596416673643,0.2521568567732163,0.3299982901899074,0.28875890303024154,0.32992783043613955,0.26456790929646196,0.26178922545802924,0.2541684332290011
06CPTAC_LSCC_Proteome_BI_20190710,0.3575257364844393,0.34430265020178713,0.3769429948062033,0.431877624243661,0.42119009331493723,1.0,0.3591507422291096,0.349445078468436,0.37702604992069594,0.3158791353731135,0.34102736017459717,0.30144482026633884,0.26274546000128485,0.3266424810267962,0.32599404788243697,0.2896838735333794,0.35608140468853916,0.322467156535011,0.339928570429468,0.3074823907720678,0.29280453732968814,0.2789132418608636
07CPTAC_LSCC_Proteome_BI_20190714,0.39135623029616295,0.3567640656609056,0.36742299063607753,0.34162600459518055,0.31092106884626314,0.3591507422291096,1.0,0.4127417160593742,0.3891647436023465,0.35742053726260986,0.3488369593024222,0.31550291466178276,0.32755415025297024,0.40264953461231173,0.3564115663744783,0.3472241851554669,0.36373848000350867,0.3431240922233524,0.3657135506377668,0.3226426925220548,0.3395158320955147,0.30176045537095075
08CPTAC_LSCC_Proteome_BI_20190717,0.3379081617132867,0.33104450140422875,0.32775698954931937,0.3352806013050829,0.33141640605874845,0.349445078468436,0.4127417160593742,1.0,0.3597982827359265,0.3192783300588335,0.31456535713430367,0.2596046971074525,0.2916718700454584,0.3669924589012983,0.3463759902092833,0.31178315186680605,0.33129312951458745,0.32621093750390584,0.3438105790559831,0.3035513088980084,0.3131792799179273,0.2919612218514679
09CPTAC_LSCC_Proteome_BI_20190722,0.3980107005325861,0.39252097856770335,0.3509171257657134,0.35862118345735233,0.3477709053945018,0.37702604992069594,0.3891647436023465,0.3597982827359265,1.0,0.39913356518896614,0.39223773630026043,0.3473713096562769,0.2978685054952801,0.34104323359054517,0.3237395634447851,0.28738171345187935,0.36127215420652525,0.325082628828222,0.36808885688263704,0.2995404247048092,0.30880325609993836,0.27401723553177443
10CPTAC_LSCC_Proteome_BI_20190726,0.3464089549163343,0.33775109214822874,0.31231506186860736,0.31300536120621986,0.2841582116688741,0.3158791353731135,0.35742053726260986,0.3192783300588335,0.39913356518896614,1.0,0.33885821293465274,0.2664171862944412,0.3187467818248572,0.30593069543993884,0.32059428991169,0.3052747926890494,0.30745694677576474,0.30675913229859053,0.3195182526864953,0.2859751791674222,0.3061596456392079,0.2740741153743853
11CPTAC_LSCC_Proteome_BI_20190804,0.39381528149327016,0.3774090661831039,0.35175100521261665,0.34609933057566583,0.3337240473944187,0.34102736017459717,0.3488369593024222,0.31456535713430367,0.39223773630026043,0.33885821293465274,1.0,0.3633367681129816,0.35292507102469295,0.31963332071656364,0.3272303921392154,0.3100400719847614,0.3348919930907213,0.30144088543251735,0.32485744016486034,0.2914826730072699,0.31151056081498,0.27763785532295204
